day,site,successful,location,Pstart,Pend,Rstart,Rend,description,dominant,depth,weather,notes,Orig_Pstart,Orig_Pend,Orig_Rstart,Orig_Rend,site_volume,site_area
09/24/2021,site001,y,A,11:38,11:55,11:57,12:07,porites,P. compressa,1m,partly cloudy,,11:40,12:00,12:05,12:15,19914648,721226.3
09/24/2021,site002,y,A,12:13,12:28,12:41,12:51,monti,M. capitata,1m,partly cloudy,sediment not settling,12:20,12:40,12:50,13:05,6107913,662919.6
09/24/2021,site003,y,A,12:58,13:12,13:18,13:27,pdam,P. damicornis,1m,partly cloudy,,13:10,13:24,13:25,13:37,17798654,722879.5
09/24/2021,site004,y,A,13:36,13:44,13:46,13:53,small_monti,M. capitata,1m,partly cloudy,,13:43,13:53,13:55,14:00,3386068,381592.3
09/28/2021,site005,y,A,14:37,14:53,14:58,15:07,por_mont,P. compressa,1m,overcast,multiple,14:47,15:05,15:08,15:17,9763540,710764.3
09/28/2021,site006,y,A,15:14,15:27,15:28,15:39,monti_spire,M. capitata,1m,overcast,,15:24,15:37,15:38,15:49,3184701,604339.3
09/28/2021,site007,y,A,15:45,15:55,16:03,16:17,monti_dense,M. capitata,1m,overcast,replicate PS at 16:23-16:32,15:55,16:05,16:13,16:27,15435740,931484.1
10/01/2021,site008,y,A,14:23,14:30,14:35,14:43,comp_mound,P. compressa,1m,partly cloudy,sun out half way through PS,14:13,14:42,14:42,14:56,13820232,543184.5
10/01/2021,site009,y,A,14:55,15:09,15:11,15:21,small_pdam,P. damicornis,1m,partly cloudy,,15:05,15:19,15:21,15:32,2958541,403341.3
10/01/2021,site010,maybe,A,15:35,15:47,15:49,16:01,small_por,P. compressa,1m,partly cloudy,"silty, open till 43, repeat 16:11-17",15:39,15:57,15:59,16:11,3010532,351533
10/05/2021,site011,y,A,13:00,13:18,13:25,13:38,bare_lept,Rock/Turf,1m,overcast,,13:00,13:18,13:18,13:35,6004232,529907.5
10/05/2021,site012,y,A,14:26,14:30,14:32,14:44,brown_mont,M. capitata,1m,partly cloudy,,14:09,14:30,14:30,14:44,10276611,589524
10/22/2021,site013,y,A,11:56,12:09,12:13,12:25,por_poc,P. compressa,1m,partly cloudy,multiple,11:25,11:41,11:41,11:57,2702800,558788.1
10/22/2021,site014,y,A,12:30,12:48,12:50,13:05,poc_med1,P. damicornis,1m,partly cloudy,,12:02,12:20,12:20,12:33,2433776,589541.5
10/22/2021,site015,y,A,13:06,13:22,13:28,13:48,mont_poc,M. capitata,1m,partly cloudy,"multiple, silty",12:38,12:54,12:54,13:20,6011013,529291.1
10/22/2021,site016,y,A,14:00,14:15,14:17,14:30,poc_med2,P. damicornis,1m,partly cloudy,silty,13:32,13:47,13:47,14:02,4158786,625622.5
10/22/2021,site017,y,A,14:37,14:47,14:49,14:58,fungid,Lobactis,1m,partly cloudy,,14:06,14:19,14:19,14:29,2394322,354638.7
11/15/2021,site018,y,B,15:24,15:39,15:42,15:49,mcap_sand,M. capitata,1m,overcast,,14:54,15:12,15:12,15:22,1963424,474123
11/17/2021,site019,y,B,12:05,12:13,12:14,12:21,thin_por,P. compressa,1m,sunny,flat,15:28,15:39,15:39,14:48,,
11/17/2021,site020,maybe,B,11:34,11:46,11:47,11:59,brown_mcap2,M. capitata,1m,sunny,other site flat,11:28,11:44,11:44,11:57,9609329,752494
11/17/2021,site021,Flat_resp,B,12:21,12:33,12:39,12:45,thin_mcap,M. capitata,1m,sunny_flat,bad?,12:21,12:33,12:33,12:43,,
11/17/2021,site022,flat,C,13:37,13:44,13:51,13:54,column_mcao,M. capitata,1m,sunny_flat,bad seal,13:16,13:45,13:45,13:54,,
11/21/2021,site022b,flat_ps,C,13:20,13:35,13:37,13:49,column_mcao,M. capitata,1m,sunny_flat,,13:20,13:35,13:37,13:49,,
11/17/2021,site023,maybe,C,14:02,14:13,14:21,14:28,fluffy_por,M. capitata,1m,sunny,flat bad resp?,13:56,14:11,14:11,14:25,5043974,604775
11/17/2021,site024,flat_ps.PosR,C,14:34,15:04,15:06,15:15,flat_monti,M. capitata,1m,sunny_flat,bad,14:34,15:04,15:04,15:15,,
11/21/2021,site024b,same,C,14:04,14:14,14:16,14:24,flat_monti,M. capitata,1m,sunny_flat,,14:04,14:14,14:16,14:24,,
11/17/2021,site025,pos.R,C,15:28,15:40,15:42,15:50,big_por,P. compressa,1m,sunny_flat,bad,15:28,15:40,15:40,15:50,,
11/21/2021,site025b,maybe,C,11:56,12:20,12:22,12:35,big_por,P. compressa,1m,sunny,flat,11:56,12:20,12:22,12:35,,
11/21/2021,site025c,messyPS,C,13:51,14:01,14:01,14:08,big_por,P. compressa,1m,sunny_flat,,13:51,14:01,12:22,12:35,,
11/21/2021,site026,lumpy,C,12:41,12:57,12:59,13:15,double_por,P. compressa,1m,sunny_flat,,12:41,12:57,12:59,13:15,,
11/24/2021,site027,no_3Ddata,A,12:42,12:50,12:58,13:09,por_pdam,P. compressa,1m,partly cloudy,,12:40,12:56,12:58,13:09,,
11/24/2021,site028,no_3Ddata,A,13:13,13:30,13:32,13:41,pdam_rock,P. damicornis,1m,partly cloudy,,13:13,13:30,13:32,13:41,,
11/24/2021,site029,no_3Ddata,A,13:46,13:55,13:59,14:07,bulky_mcap,M. capitata,1m,partly cloudy,,13:46,13:55,13:57,14:05,,
03/21/2022,site030,y,A,12:17,12:41,12:42,12:56,lagoon_pcom,P. compressa,deep_lagoon,sunny_deep,,12:17,12:41,12:42,12:56,12321296,767759
03/21/2022,site031,y,A,13:01,13:14,13:40,13:45,lagoon_mcap,M. capitata,deep_lagoon,sunny_deep,,13:01,13:21,13:42,13:45,10634530,595881
03/21/2022,site032,y,A,13:55,14:09,14:10,14:28,large_pcom,P. compressa,1m,partly cloudy,,14:02,14:09,14:10,14:28,37043256,917205
03/21/2022,site033,y,A,14:35,14:47,14:48,14:59,pdam_rock2,P. damicornis,1m,partly cloudy,,14:37,14:47,14:48,14:57,4212951,498822
03/22/2022,site034,y,A,13:52,14:07,14:09,14:21,pcom_round,P. compressa,1m,overcast_partly,,13:38,14:08,14:09,14:21,24855972,725130
03/22/2022,site035,y,A,14:32,14:46,14:47,15:00,pcom_med,P. compressa,1m,overcast_partly,,14:26,14:46,14:47,15:00,7069284,769614
03/22/2022,site036,y,A,15:07,15:22,15:23,15:35,rock,Rock/Turf,1m,overcast_partly,,15:07,15:22,15:23,15:35,6362376,492309