site,metric,fungid,mcap,pcom,pdam,rock
site001,area,NA,NA,471183.5,45936.3,NA
site001,planar,NA,NA,125100,15744,NA
site001,vol,NA,NA,15995801,475018.3,NA
site002,area,NA,335593.4,NA,65789.5,NA
site002,planar,NA,69815,NA,12619,NA
site002,vol,NA,1507269,NA,428706.8,NA
site003,area,NA,NA,NA,539152,NA
site003,planar,NA,NA,NA,129964,NA
site003,vol,NA,NA,NA,15298318,NA
site004,area,NA,70394.7,NA,NA,NA
site004,planar,NA,14581,NA,NA,NA
site004,vol,NA,368219.6,NA,NA,NA
site005,area,NA,147995.3,320539.6,5891.9,NA
site005,planar,NA,31131,74220,3088,NA
site005,vol,NA,815715.5,5302064,37959.5,NA
site006,area,NA,314131.6,NA,NA,NA
site006,planar,NA,52929,NA,NA,NA
site006,vol,NA,1717684.5,NA,NA,NA
site007,area,NA,646425.3,NA,NA,NA
site007,planar,NA,114345,NA,NA,NA
site007,vol,NA,11450506,NA,NA,NA
site008,area,NA,NA,317333.1,NA,NA
site008,planar,NA,NA,100616,NA,NA
site008,vol,NA,NA,10112279,NA,NA
site009,area,NA,NA,NA,104769.8,NA
site009,planar,NA,NA,NA,22475,NA
site009,vol,NA,NA,NA,1887146.7,NA
site010,area,NA,NA,63485.4,NA,NA
site010,planar,NA,NA,12769,NA,NA
site010,vol,NA,NA,443277,NA,NA
site011,area,NA,NA,NA,NA,286160.9
site011,planar,NA,NA,NA,NA,84450
site011,vol,NA,NA,NA,NA,4011775.7
site012,area,NA,399168.9,NA,NA,NA
site012,planar,NA,120135,NA,NA,NA
site012,vol,NA,6915147,NA,NA,NA
site013,area,NA,NA,128677.2,29996.1,64509
site013,planar,NA,NA,29493.3,6880.8,16466
site013,vol,NA,NA,1670014.3,248707.3,472395.5
site014,area,NA,NA,NA,214315.7,NA
site014,planar,NA,NA,NA,46084.4,NA
site014,vol,NA,NA,NA,2356782.5,NA
site015,area,NA,153475.3,NA,29138.7,46734
site015,planar,NA,28090.6,NA,6603,13031
site015,vol,NA,1606651,NA,189212.5,692391
site016,area,NA,NA,NA,285043.3,NA
site016,planar,NA,NA,NA,50367,NA
site016,vol,NA,NA,NA,3191711,NA
site017,area,62575.9,NA,NA,NA,NA
site017,planar,32090,NA,NA,NA,NA
site017,vol,63000,NA,NA,NA,NA
site018,area,NA,212860,NA,NA,NA
site018,planar,NA,34188,NA,NA,NA
site018,vol,NA,1071202,NA,NA,NA
site019,area,NA,NA,NA,NA,NA
site019,planar,NA,NA,NA,NA,NA
site019,vol,NA,NA,NA,NA,NA
site020,area,NA,578558,NA,NA,NA
site020,planar,NA,159341,NA,NA,NA
site020,vol,NA,5997553,NA,NA,NA
site021,area,NA,NA,NA,NA,NA
site021,planar,NA,NA,NA,NA,NA
site021,vol,NA,NA,NA,NA,NA
site022,area,NA,NA,NA,NA,NA
site022,planar,NA,NA,NA,NA,NA
site022,vol,NA,NA,NA,NA,NA
site022b,area,NA,NA,NA,NA,NA
site022b,planar,NA,NA,NA,NA,NA
site022b,vol,NA,NA,NA,NA,NA
site023,area,NA,NA,333379,NA,NA
site023,planar,NA,NA,59928,NA,NA
site023,vol,NA,NA,3669967,NA,NA
site024,area,NA,NA,NA,NA,NA
site024,planar,NA,NA,NA,NA,NA
site024,vol,NA,NA,NA,NA,NA
site024b,area,NA,NA,NA,NA,NA
site024b,planar,NA,NA,NA,NA,NA
site024b,vol,NA,NA,NA,NA,NA
site025,area,NA,NA,NA,NA,NA
site025,planar,NA,NA,NA,NA,NA
site025,vol,NA,NA,NA,NA,NA
site025b,area,NA,NA,NA,NA,NA
site025b,planar,NA,NA,NA,NA,NA
site025b,vol,NA,NA,NA,NA,NA
site025c,area,NA,NA,NA,NA,NA
site025c,planar,NA,NA,NA,NA,NA
site025c,vol,NA,NA,NA,NA,NA
site026,area,NA,NA,NA,NA,NA
site026,planar,NA,NA,NA,NA,NA
site026,vol,NA,NA,NA,NA,NA
site027,area,NA,NA,NA,NA,NA
site027,planar,NA,NA,NA,NA,NA
site027,vol,NA,NA,NA,NA,NA
site028,area,NA,NA,NA,NA,NA
site028,planar,NA,NA,NA,NA,NA
site028,vol,NA,NA,NA,NA,NA
site029,area,NA,NA,NA,NA,NA
site029,planar,NA,NA,NA,NA,NA
site029,vol,NA,NA,NA,NA,NA
site030,area,NA,NA,537509,NA,NA
site030,planar,NA,NA,83926,NA,NA
site030,vol,NA,NA,9044292,NA,NA
site031,area,NA,403070,NA,NA,NA
site031,planar,NA,104730,NA,NA,NA
site031,vol,NA,11633470,NA,NA,NA
site032,area,NA,NA,760775,NA,NA
site032,planar,NA,NA,184342,NA,NA
site032,vol,NA,NA,30384090,NA,NA
site033,area,NA,NA,NA,169105,NA
site033,planar,NA,NA,NA,33949,NA
site033,vol,NA,NA,NA,2122419,NA
site034,area,NA,NA,529443,NA,NA
site034,planar,NA,NA,159565,NA,NA
site034,vol,NA,NA,18899370,NA,NA
site035,area,NA,NA,457582,NA,NA
site035,planar,NA,NA,67312,NA,NA
site035,vol,NA,NA,4504299,NA,NA
site036,area,NA,NA,NA,12471,256520
site036,planar,NA,NA,NA,4181,109882
site036,vol,NA,NA,NA,92366,4204842