,filename,Day,probe,ampm,site
1,hi01 2021_09_24.csv,24/09/2021,light_a,NA,hi01
734,hi02 2021_09_24.csv,24/09/2021,light_a,NA,hi02
1467,hi03 2021_09_24.csv,24/09/2021,light_a,NA,hi03
2200,hi04 2021_09_24.csv,24/09/2021,light_a,NA,hi04
2933,hi05 2021_09_28.csv,28/09/2021,light_a,NA,hi05
3326,hi06 2021_09_28.csv,28/09/2021,light_a,NA,hi06
3719,hi07 2021_09_28.csv,28/09/2021,light_a,NA,hi07
4112,hi08 2021_10_01.csv,01/10/2021,light_a,NA,hi08
4782,hi09 2021_10_01.csv,01/10/2021,light_a,NA,hi09
5452,hi10 2021_10_01.csv,01/10/2021,light_a,NA,hi10
6122,hi11 2021_10_05.csv,05/10/2021,light_a,NA,hi11
6739,hi12 2021_10_05.csv,05/10/2021,light_a,NA,hi12
7356,hi13 2021_10_22.csv,22/10/2021,light_a,NA,hi13
7897,hi14 2021_10_22.csv,22/10/2021,light_a,NA,hi14
8438,hi15 2021_10_22.csv,22/10/2021,light_a,NA,hi15
8979,hi16 2021_10_22.csv,22/10/2021,light_a,NA,hi16
9520,hi17 2021_10_22.csv,22/10/2021,light_a,NA,hi17
10061,hi18 2021_11_15.csv,15/11/2021,light_a,NA,hi18
10384,hi19 2021_11_17_a.csv,17/11/2021,light_a,NA,hi19
11115,hi19 2021_11_17_b.csv,17/11/2021,light_b,NA,hi19
11845,hi20 2021_11_17_a.csv,17/11/2021,light_a,NA,hi20
12576,hi20 2021_11_17_b.csv,17/11/2021,light_b,NA,hi20
13306,hi21 2021_11_17_a.csv,17/11/2021,light_a,NA,hi21
14037,hi21 2021_11_17_b.csv,17/11/2021,light_b,NA,hi21
14767,hi22 2021_11_17_a.csv,17/11/2021,light_a,NA,hi22
15498,hi22 2021_11_17_b.csv,17/11/2021,light_b,NA,hi22
16228,hi22b 2021_11_21_a.csv,21/11/2021,light_a,NA,hi22b
16662,hi22b 2021_11_21_b.csv,21/11/2021,light_b,NA,hi22b
17094,hi23 2021_11_17_a.csv,17/11/2021,light_a,NA,hi23
17825,hi23 2021_11_17_b.csv,17/11/2021,light_b,NA,hi23
18555,hi24 2021_11_17_a.csv,17/11/2021,light_a,NA,hi24
19286,hi24 2021_11_17_b.csv,17/11/2021,light_b,NA,hi24
20016,hi24b 2021_11_21_a.csv,21/11/2021,light_a,NA,hi24b
20450,hi24b 2021_11_21_b.csv,21/11/2021,light_b,NA,hi24b
20882,hi25 2021_11_17_a.csv,17/11/2021,light_a,NA,hi25
21613,hi25 2021_11_17_b.csv,17/11/2021,light_b,NA,hi25
22343,hi25b 2021_11_21_a.csv,21/11/2021,light_a,NA,hi25b
22777,hi25b 2021_11_21_b.csv,21/11/2021,light_b,NA,hi25b
23209,hi25c 2021_11_21_a.csv,21/11/2021,light_a,NA,hi25c
23643,hi25c 2021_11_21_b.csv,21/11/2021,light_b,NA,hi25c
24075,hi26 2021_11_21_a.csv,21/11/2021,light_a,NA,hi26
24509,hi26 2021_11_21_b.csv,21/11/2021,light_b,NA,hi26
24941,hi27 2021_11_24.csv,24/11/2021,light_a,NA,hi27
25507,hi28 2021_11_24.csv,24/11/2021,light_a,NA,hi28
26073,hi29 2021_11_24.csv,24/11/2021,light_a,NA,hi29
26639,hi30 2022_03_21_a.csv,21/03/2022,light_a,NA,hi30
27256,hi30 2022_03_21_b.csv,21/03/2022,light_b,NA,hi30
27868,hi31 2022_03_21_a.csv,21/03/2022,light_a,NA,hi31
28485,hi31 2022_03_21_b.csv,21/03/2022,light_b,NA,hi31
29097,hi32 2022_03_21_a.csv,21/03/2022,light_a,NA,hi32
29714,hi32 2022_03_21_b.csv,21/03/2022,light_b,NA,hi32
30326,hi33 2022_03_21_a.csv,21/03/2022,light_a,NA,hi33
30943,hi33 2022_03_21_b.csv,21/03/2022,light_b,NA,hi33
31555,hi34 2022_03_22_a.csv,22/03/2022,light_a,NA,hi34
31949,hi34 2022_03_22_b.csv,22/03/2022,light_b,NA,hi34
32344,hi35 2022_03_22_a.csv,22/03/2022,light_a,NA,hi35
32738,hi35 2022_03_22_b.csv,22/03/2022,light_b,NA,hi35
33133,hi36 2022_03_22_a.csv,22/03/2022,light_a,NA,hi36
33527,hi36 2022_03_22_b.csv,22/03/2022,light_b,NA,hi36
33922,unsure 2021_11_23.csv,23/11/2021,light_a,NA,unsure